code,name,industry,revenue_growth_pct,ni_growth_pct,roe_pct,候補ルール
92150,株式会社ＣａＳｙ,サービス業,9.15,726.81,18.06,フェーズ1'のみ(自動判定)
52560,株式会社Ｆｕｓｉｃ,情報・通信業,8.55,25.14,18.44,フェーズ1'のみ(自動判定)
73720,株式会社デコルテ・ホールディングス,サービス業,8.17,37.11,2.97,フェーズ1'のみ(自動判定)
43940,株式会社エクスモーション,情報・通信業,7.94,28.46,7.8,フェーズ1'のみ(自動判定)
52580,株式会社トランザクション・メディア・ネットワークス,情報・通信業,7.94,91.13,-0.73,フェーズ1'のみ(自動判定)
14010,株式会社エムビーエス,建設業,6.72,20.03,14.96,フェーズ1'のみ(自動判定)
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,サービス業,6.3,45.6,3.49,フェーズ1'のみ(自動判定)
42620,ニフティライフスタイル株式会社,情報・通信業,6.06,26.03,12.92,フェーズ1'のみ(自動判定)
37730,株式会社アドバンスト・メディア,情報・通信業,5.97,23.46,13.21,フェーズ1'のみ(自動判定)
29370,株式会社サンクゼール,食料品,5.82,76.42,12.18,フェーズ1'のみ(自動判定)
92720,ブティックス株式会社,小売業,5.77,146.89,23.69,フェーズ1'のみ(自動判定)
65220,株式会社アスタリスク,電気機器,5.57,53.23,-11.15,フェーズ1'のみ(自動判定)
44960,株式会社コマースＯｎｅホールディングス,情報・通信業,5.48,230.06,11.74,フェーズ1'のみ(自動判定)
43800,株式会社Ｍマート,情報・通信業,5.34,22.31,21.43,フェーズ1'のみ(自動判定)
93420,株式会社スマサポ,サービス業,5.29,22.75,25.72,フェーズ1'のみ(自動判定)
65630,株式会社みらいワークス,サービス業,5.06,37.07,6.99,フェーズ1'のみ(自動判定)
29860,株式会社ＬＡホールディングス,不動産業,4.11,30.17,25.52,フェーズ1'のみ(自動判定)
14310,株式会社Ｌｉｂ　Ｗｏｒｋ,建設業,3.69,27.64,10.66,フェーズ1'のみ(自動判定)
45700,株式会社免疫生物研究所,医薬品,3.66,32.11,19.6,フェーズ1'のみ(自動判定)
523A0,株式会社セイワホールディングス,金属製品,3.11,230.28,30.39,フェーズ1'のみ(自動判定)
70930,アディッシュ株式会社,サービス業,2.89,98.35,-0.42,フェーズ1'のみ(自動判定)
290A0,株式会社Ｓｙｎｓｐｅｃｔｉｖｅ,情報・通信業,2.58,89.67,-1.27,フェーズ1'のみ(自動判定)
44900,株式会社ビザスク,情報・通信業,1.98,86.89,66.59,フェーズ1'のみ(自動判定)
34740,Ｇ－ＦＡＣＴＯＲＹ株式会社,不動産業,1.84,24.4,-19.04,フェーズ1'のみ(自動判定)
65970,ＨＰＣシステムズ株式会社,情報・通信業,1.71,41.74,16.65,フェーズ1'のみ(自動判定)
50310,モイ株式会社,情報・通信業,1.45,265.39,5.29,フェーズ1'のみ(自動判定)
35580,ジェイドグループ株式会社,小売業,1.09,178.02,21.01,フェーズ1'のみ(自動判定)
44450,リビン・テクノロジーズ株式会社,情報・通信業,0.63,175.9,19.26,フェーズ1'のみ(自動判定)
56160,株式会社雨風太陽,情報・通信業,0.61,97.47,-1.2,フェーズ1'のみ(自動判定)
