code,name,date,high,prior_52w_high
44820,株式会社ウィルズ,2025-11-27,803.0,777.0
44820,株式会社ウィルズ,2025-11-28,818.0,803.0
44820,株式会社ウィルズ,2025-12-01,829.0,818.0
44950,株式会社アイキューブドシステムズ,2025-08-14,2165.0,1985.0
44950,株式会社アイキューブドシステムズ,2025-08-15,2175.0,2165.0
44950,株式会社アイキューブドシステムズ,2025-08-18,2230.0,2175.0
44950,株式会社アイキューブドシステムズ,2025-08-22,2335.0,2230.0
44950,株式会社アイキューブドシステムズ,2025-08-25,2437.0,2335.0
44950,株式会社アイキューブドシステムズ,2025-08-29,2483.0,2437.0
44950,株式会社アイキューブドシステムズ,2025-09-01,2539.0,2483.0
44950,株式会社アイキューブドシステムズ,2025-09-24,2559.0,2539.0
44950,株式会社アイキューブドシステムズ,2025-09-25,2620.0,2559.0
44950,株式会社アイキューブドシステムズ,2025-09-26,2725.0,2620.0
44950,株式会社アイキューブドシステムズ,2025-11-26,2800.0,2725.0
44950,株式会社アイキューブドシステムズ,2025-11-27,2850.0,2800.0
44950,株式会社アイキューブドシステムズ,2025-11-28,2931.0,2850.0
44950,株式会社アイキューブドシステムズ,2025-12-23,2943.0,2931.0
44950,株式会社アイキューブドシステムズ,2025-12-24,2980.0,2943.0
456A0,追加,2025-11-28,4080.0,3840.0
456A0,追加,2025-12-01,4480.0,4080.0
456A0,追加,2025-12-03,4900.0,4480.0
456A0,追加,2026-03-24,5250.0,4900.0
456A0,追加,2026-03-25,5280.0,5250.0
456A0,追加,2026-03-26,5500.0,5280.0
456A0,追加,2026-03-27,5550.0,5500.0
456A0,追加,2026-04-15,5570.0,5550.0
456A0,追加,2026-04-16,6020.0,5570.0
480A0,株式会社リブ・コンサルティング,2025-12-26,1460.0,1440.0
48110,株式会社ドリーム・アーツ,2025-08-15,4420.0,4130.0
48110,株式会社ドリーム・アーツ,2025-08-18,4470.0,4420.0
48110,株式会社ドリーム・アーツ,2025-08-19,4530.0,4470.0
48110,株式会社ドリーム・アーツ,2025-08-20,4700.0,4530.0
48110,株式会社ドリーム・アーツ,2025-08-22,4790.0,4700.0
48110,株式会社ドリーム・アーツ,2025-08-29,4845.0,4790.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-12,2920.0,2878.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-13,3305.0,2920.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-14,3600.0,3305.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-15,3750.0,3600.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-18,3765.0,3750.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-19,4005.0,3765.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-20,4135.0,4005.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-21,4185.0,4135.0
50340,株式会社ｕｎｅｒｒｙ,2025-08-25,4210.0,4185.0
50380,株式会社ｅＷｅＬＬ,2025-08-15,2832.0,2667.0
50380,株式会社ｅＷｅＬＬ,2025-08-18,2837.0,2832.0
50380,株式会社ｅＷｅＬＬ,2025-08-19,2940.0,2837.0
50380,株式会社ｅＷｅＬＬ,2025-09-22,3000.0,2940.0
50380,株式会社ｅＷｅＬＬ,2025-11-12,3015.0,3000.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-12,3825.0,3815.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-13,3835.0,3825.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-14,3840.0,3835.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-15,3970.0,3840.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-18,4180.0,3970.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-08-19,4200.0,4180.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-09-02,4230.0,4200.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-09-11,4395.0,4230.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-11-10,4475.0,4395.0
51320,株式会社ｐｌｕｓｚｅｒｏ,2025-11-11,4495.0,4475.0
52430,ｎｏｔｅ株式会社,2026-01-20,2970.0,2909.0
52430,ｎｏｔｅ株式会社,2026-01-21,3180.0,2970.0
52430,ｎｏｔｅ株式会社,2026-01-23,3210.0,3180.0
52430,ｎｏｔｅ株式会社,2026-04-15,3405.0,3210.0
55320,株式会社リアルゲイト,2025-08-15,3040.0,2904.0
55320,株式会社リアルゲイト,2025-08-18,3220.0,3040.0
55320,株式会社リアルゲイト,2025-09-09,3330.0,3220.0
55320,株式会社リアルゲイト,2025-09-10,3340.0,3330.0
55320,株式会社リアルゲイト,2025-09-11,3355.0,3340.0
55320,株式会社リアルゲイト,2025-09-19,3460.0,3355.0
55320,株式会社リアルゲイト,2025-09-22,3580.0,3460.0
55320,株式会社リアルゲイト,2026-04-13,4150.0,3580.0
55320,株式会社リアルゲイト,2026-04-20,4390.0,4150.0
55370,株式会社ＡｌｂａＬｉｎｋ,2025-12-16,2155.0,1880.0
55370,株式会社ＡｌｂａＬｉｎｋ,2025-12-17,2342.0,2155.0
55370,株式会社ＡｌｂａＬｉｎｋ,2025-12-23,2450.0,2342.0
55370,株式会社ＡｌｂａＬｉｎｋ,2025-12-24,2520.0,2450.0
55370,株式会社ＡｌｂａＬｉｎｋ,2025-12-25,2819.0,2520.0
55370,株式会社ＡｌｂａＬｉｎｋ,2026-02-16,3085.0,2819.0
