code,name,seq,entry_date,entry_price,true_high_date,true_high_price,hold_days,worst_drawdown_pct,worst_drawdown_date,final_return_pct
65800,株式会社ライトアップ,17,2025-06-16,2038.0,2025-06-17,2347.0,1,0.0,,15.16
65970,ＨＰＣシステムズ株式会社,10,2026-04-03,2598.0,2026-04-06,3390.0,3,-4.81,2026-04-06,30.48
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,2,2025-02-26,1049.0,2025-09-02,2470.0,188,0.0,,135.46
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,5,2025-05-19,1767.0,2025-09-02,2470.0,106,-4.3,2025-06-05,39.78
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,6,2025-05-20,1787.0,2025-09-02,2470.0,105,-5.37,2025-06-05,38.22
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,7,2025-07-14,1840.0,2025-09-02,2470.0,50,-2.5,2025-07-17,34.24
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,8,2025-07-28,1897.0,2025-09-02,2470.0,36,-1.63,2025-07-29,30.21
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,9,2025-07-29,1888.0,2025-09-02,2470.0,35,-0.42,2025-07-30,30.83
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,10,2025-07-30,1895.0,2025-09-02,2470.0,34,0.0,,30.34
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,11,2025-07-31,1915.0,2025-09-02,2470.0,33,0.0,,28.98
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,12,2025-08-01,1960.0,2025-09-02,2470.0,32,-1.28,2025-08-05,26.02
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,13,2025-08-06,1983.0,2025-09-02,2470.0,27,-1.16,2025-08-14,24.56
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,14,2025-08-13,1968.0,2025-09-02,2470.0,20,-0.41,2025-08-14,25.51
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,15,2025-08-15,2015.0,2025-09-02,2470.0,18,0.0,,22.58
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,16,2025-08-18,2047.0,2025-09-02,2470.0,15,-1.03,2025-08-19,20.66
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,17,2025-08-20,2057.0,2025-09-02,2470.0,13,0.0,,20.08
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,18,2025-08-21,2083.0,2025-09-02,2470.0,12,-0.14,2025-08-22,18.58
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,19,2025-08-22,2100.0,2025-09-02,2470.0,11,0.0,,17.62
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,20,2025-08-25,2147.0,2025-09-02,2470.0,8,-2.0,2025-08-26,15.04
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,21,2025-08-26,2147.0,2025-09-02,2470.0,7,-0.98,2025-08-27,15.04
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,22,2025-08-27,2144.0,2025-09-02,2470.0,6,-0.75,2025-08-28,15.21
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,23,2025-08-28,2196.0,2025-09-02,2470.0,5,-0.5,2025-08-29,12.48
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,24,2025-08-29,2214.0,2025-09-02,2470.0,4,0.0,,11.56
70840,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,25,2025-09-01,2250.0,2025-09-02,2470.0,1,0.0,,9.78
70970,株式会社さくらさくプラス,4,2024-12-16,1615.0,2025-01-08,2268.0,23,0.0,,40.43
70970,株式会社さくらさくプラス,5,2024-12-17,1903.0,2025-01-08,2268.0,22,-1.31,2024-12-24,19.18
70970,株式会社さくらさくプラス,6,2024-12-18,1940.0,2025-01-08,2268.0,21,-3.2,2024-12-24,16.91
70970,株式会社さくらさくプラス,7,2024-12-30,2039.0,2025-01-08,2268.0,9,0.0,,11.23
70970,株式会社さくらさくプラス,8,2025-01-06,2126.0,2025-01-08,2268.0,2,0.0,,6.68
70970,株式会社さくらさくプラス,9,2025-01-07,2168.0,2025-01-08,2268.0,1,0.0,,4.61
73180,セレンディップ・ホールディングス株式会社,1,2023-03-22,865.0,2025-06-20,3400.0,821,-1.62,2023-03-23,293.06
73180,セレンディップ・ホールディングス株式会社,20,2025-05-13,1797.0,2025-06-20,3400.0,38,-5.01,2025-05-14,89.2
73180,セレンディップ・ホールディングス株式会社,21,2025-05-19,2149.0,2025-06-20,3400.0,32,-4.37,2025-05-20,58.21
73180,セレンディップ・ホールディングス株式会社,22,2025-05-20,2123.0,2025-06-20,3400.0,31,0.0,,60.15
73180,セレンディップ・ホールディングス株式会社,23,2025-05-21,2250.0,2025-06-20,3400.0,30,-2.22,2025-05-22,51.11
73180,セレンディップ・ホールディングス株式会社,24,2025-05-22,2414.0,2025-06-20,3400.0,29,-6.67,2025-05-23,40.85
73180,セレンディップ・ホールディングス株式会社,25,2025-05-28,2445.0,2025-06-20,3400.0,23,-1.02,2025-05-29,39.06
73180,セレンディップ・ホールディングス株式会社,26,2025-06-02,2725.0,2025-06-20,3400.0,18,-1.98,2025-06-03,24.77
73180,セレンディップ・ホールディングス株式会社,28,2025-06-19,3190.0,2025-06-20,3400.0,1,-5.02,2025-06-20,6.58
73750,株式会社リファインバースグループ,12,2026-04-03,1530.0,2026-04-06,1930.0,3,0.0,,26.14
73780,株式会社アシロ,2,2024-09-17,1020.0,2024-12-17,1951.0,91,-4.9,2024-09-18,91.27
73780,株式会社アシロ,3,2024-09-18,1004.0,2024-12-17,1951.0,90,-2.79,2024-09-30,94.32
73780,株式会社アシロ,6,2024-12-02,1150.0,2024-12-17,1951.0,15,-1.3,2024-12-11,69.65
73780,株式会社アシロ,8,2024-12-16,1551.0,2024-12-17,1951.0,1,0.0,,25.79
74090,ＡｅｒｏＥｄｇｅ株式会社,5,2025-07-29,3140.0,2025-08-15,4780.0,17,-1.43,2025-07-30,52.23
74090,ＡｅｒｏＥｄｇｅ株式会社,6,2025-07-30,3275.0,2025-08-15,4780.0,16,-2.29,2025-08-05,45.95
74090,ＡｅｒｏＥｄｇｅ株式会社,7,2025-07-31,3380.0,2025-08-15,4780.0,15,-5.33,2025-08-05,41.42
74090,ＡｅｒｏＥｄｇｅ株式会社,8,2025-08-01,3395.0,2025-08-15,4780.0,14,-5.74,2025-08-05,40.8
74090,ＡｅｒｏＥｄｇｅ株式会社,9,2025-08-06,3430.0,2025-08-15,4780.0,9,-3.64,2025-08-12,39.36
74090,ＡｅｒｏＥｄｇｅ株式会社,10,2025-08-14,4080.0,2025-08-15,4780.0,1,-0.12,2025-08-15,17.16
76940,株式会社いつも,4,2025-07-04,845.0,2025-07-07,995.0,3,0.0,,17.75
77770,株式会社スリー・ディー・マトリックス,11,2025-09-12,290.0,2025-09-16,343.0,4,0.0,,18.28
78060,株式会社ＭＴＧ,16,2025-03-11,2365.0,2025-07-10,4295.0,121,-1.48,2025-03-12,81.61
78060,株式会社ＭＴＧ,17,2025-03-12,2429.0,2025-07-10,4295.0,120,-1.77,2025-04-07,76.82
78060,株式会社ＭＴＧ,18,2025-03-13,2547.0,2025-07-10,4295.0,119,-6.32,2025-04-07,68.63
78060,株式会社ＭＴＧ,19,2025-03-14,2549.0,2025-07-10,4295.0,118,-6.39,2025-04-07,68.5
78060,株式会社ＭＴＧ,20,2025-03-17,2553.0,2025-07-10,4295.0,115,-6.54,2025-04-07,68.23
78060,株式会社ＭＴＧ,24,2025-04-24,2845.0,2025-07-10,4295.0,77,-2.71,2025-04-25,50.97
78060,株式会社ＭＴＧ,25,2025-04-30,2904.0,2025-07-10,4295.0,71,-3.0,2025-05-02,47.9
78060,株式会社ＭＴＧ,26,2025-05-01,2903.0,2025-07-10,4295.0,70,-2.96,2025-05-02,47.95
78060,株式会社ＭＴＧ,27,2025-05-07,3185.0,2025-07-10,4295.0,64,-3.77,2025-05-08,34.85
78060,株式会社ＭＴＧ,28,2025-05-09,3460.0,2025-07-10,4295.0,62,-4.19,2025-05-21,24.13
78060,株式会社ＭＴＧ,29,2025-05-13,3475.0,2025-07-10,4295.0,58,-4.6,2025-05-21,23.6
78060,株式会社ＭＴＧ,30,2025-05-16,3470.0,2025-07-10,4295.0,55,-4.47,2025-05-21,23.78
78060,株式会社ＭＴＧ,31,2025-06-02,3705.0,2025-07-10,4295.0,38,-4.05,2025-06-20,15.92
78060,株式会社ＭＴＧ,32,2025-06-04,3765.0,2025-07-10,4295.0,36,-5.58,2025-06-20,14.08
78060,株式会社ＭＴＧ,33,2025-06-05,3750.0,2025-07-10,4295.0,35,-5.2,2025-06-20,14.53
78060,株式会社ＭＴＧ,35,2025-07-09,4150.0,2025-07-10,4295.0,1,-1.57,2025-07-10,3.49
92110,株式会社エフ・コード,1,2024-01-16,2581.0,2024-01-30,3165.0,14,-2.32,2024-01-17,22.63
92110,株式会社エフ・コード,2,2024-01-19,2815.0,2024-01-30,3165.0,11,-2.13,2024-01-22,12.43
92110,株式会社エフ・コード,3,2024-01-22,2910.0,2024-01-30,3165.0,8,-4.5,2024-01-26,8.76
92110,株式会社エフ・コード,4,2024-01-24,2933.0,2024-01-30,3165.0,6,-5.25,2024-01-26,7.91
92410,株式会社フューチャーリンクネットワーク,10,2025-07-29,2275.0,2025-08-01,3670.0,3,0.0,,61.32
92560,株式会社サクシード,5,2026-05-12,974.0,2026-05-22,2377.0,10,0.0,,144.05
92560,株式会社サクシード,6,2026-05-13,1124.0,2026-05-22,2377.0,9,0.0,,111.48
92560,株式会社サクシード,11,2026-05-20,2045.0,2026-05-22,2377.0,2,-4.35,2026-05-21,16.23
92700,バリュエンスホールディングス株式会社,1,2025-12-24,1095.0,2026-04-06,2139.0,103,-1.83,2026-01-05,95.34
92700,バリュエンスホールディングス株式会社,3,2026-01-09,1309.0,2026-04-06,2139.0,87,0.0,,63.41
92700,バリュエンスホールディングス株式会社,4,2026-01-13,1609.0,2026-04-06,2139.0,83,-0.5,2026-01-14,32.94
92700,バリュエンスホールディングス株式会社,8,2026-04-03,1977.0,2026-04-06,2139.0,3,0.0,,8.19
92710,株式会社和心,5,2025-08-19,755.0,2025-10-30,1119.0,72,-6.75,2025-08-28,48.21
