code,entry_date,entry_price,outcome,outcome_date,outcome_pct,hold_days
39050,2024-04-15,2640.0,STOPPED,2024-04-18,-26.52,3
39050,2024-04-16,3140.0,STOPPED,2024-04-17,-22.29,1
39050,2025-06-09,2211.0,STOPPED,2025-06-17,-11.35,8
39050,2025-06-10,2542.0,STOPPED,2025-06-11,-10.15,1
39050,2025-07-08,2886.0,STOPPED,2025-08-13,-13.72,36
39050,2025-07-09,3390.0,STOPPED,2025-07-15,-10.03,6
39050,2025-07-10,4090.0,STOPPED,2025-07-11,-17.11,1
39050,2025-07-11,3390.0,STOPPED,2025-07-15,-10.03,4
39050,2026-05-22,4800.0,STOPPED,2026-05-25,-14.58,3
39050,2026-05-25,4490.0,STOPPED,2026-06-10,-8.02,16
39050,2026-05-28,5140.0,STOPPED,2026-06-02,-16.15,5
39050,2026-05-29,6140.0,STOPPED,2026-06-01,-16.29,3
40130,2025-05-21,821.0,STOPPED,2026-02-13,-11.81,268
40130,2025-05-27,870.0,STOPPED,2026-02-13,-16.78,262
40130,2025-05-28,859.0,STOPPED,2026-02-13,-15.72,261
40130,2025-06-03,890.0,STOPPED,2026-02-12,-9.89,254
40130,2025-06-05,919.0,STOPPED,2025-07-22,-9.58,47
40130,2025-06-09,902.0,STOPPED,2026-02-12,-11.09,248
40130,2025-06-30,990.0,STOPPED,2025-07-03,-8.59,3
40130,2025-08-07,1039.0,STOPPED,2026-02-05,-9.91,182
40130,2025-08-13,1018.0,STOPPED,2026-02-05,-8.06,176
40130,2025-08-15,1096.0,STOPPED,2026-02-04,-10.31,173
40130,2025-08-21,1148.0,STOPPED,2026-01-30,-8.1,162
40130,2025-08-22,1155.0,STOPPED,2026-01-30,-8.66,161
40130,2025-08-25,1216.0,STOPPED,2025-09-04,-8.63,10
40130,2025-08-28,1239.0,STOPPED,2025-09-04,-10.33,7
40130,2025-08-29,1285.0,STOPPED,2025-09-03,-9.26,5
40130,2025-09-08,1268.0,STOPPED,2025-11-05,-11.91,58
40130,2025-09-16,1337.0,STOPPED,2025-10-06,-9.27,20
40130,2025-09-18,1423.0,STOPPED,2025-09-29,-8.71,11
40130,2025-09-19,1470.0,STOPPED,2025-09-29,-11.63,10
